SKU,Nombre,Descripción,Marca,Categoría,Precio,Imagen,URL
001-387868,Anillo Lavadora 387868 Whirlpool,Anillo para Lavadora 387868 Whirlpool.,,Anillo levas,Bs.0.00+ IVA,images/001-387868.jpg,https://refrigeracionbarbosa.com/producto/anillo-lavadora-387868-whirlpool/
001-389229,Base Engranaje Lavadora 389229 Whirlpool,Base de Engranaje para Lavadora 389229 Whirlpool.,,Base Soportes,Bs.0.00+ IVA,images/001-389229.jpg,https://refrigeracionbarbosa.com/producto/base-engranaje-lavadora-389229-whirlpool/
001-350044,Soporte Lavadora 350044 Whirlpool,Soporte para Lavadora 350044 Whirlpool.,,Base Soportes,Bs.0.00+ IVA,images/001-350044.jpg,https://refrigeracionbarbosa.com/producto/soporte-lavadora-350044-whirlpool/
18-024461,Compresor 1/2HP R134a 110V Alta CAJ4461A Tecumseh,Compresor 1/2HP R134a 110V Alta CAJ4461A Tecumseh. Compresor doméstico para aplicaciones comerciales en refrigeración en R134a.,,Compresores,Bs.0.00+ IVA,images/18-024461.jpg,https://refrigeracionbarbosa.com/producto/compresor-1-2hp-r134a-110v-alta-caj4461a-tecumseh/
18-024461Y,Compresor 1/2HP R134a 110V Alta CAJ4461Y Tecumseh,Compresor 1/2HP R134a 110V Alta CAJ4461Y Tecumseh. Compresor doméstico para aplicaciones comerciales en refrigeración en R134a.,,Compresores,Bs.0.00+ IVA,images/18-024461Y.jpg,https://refrigeracionbarbosa.com/producto/compresor-1-2hp-r134a-110v-alta-caj4461y-tecumseh/
18-05205,Compresor 1/6HP R134a 110V FN57Q12G Wanbao,Compresor 1/6HP R134a 110V FN57Q12G Wanbao. Compresor doméstico para aplicaciones comerciales en refrigeración en R134a.,,Compresores,Bs.0.00+ IVA,images/18-05205.jpg,https://refrigeracionbarbosa.com/producto/compresor-1-6hp-r134a-110v-fn57q12g-wanbao/
18-024511,Compresor 1HP R12 220V Monofásico CAJ4511A Tecumseh,Compresor 1HP R12 220V Monofásico CAJ4511A Tecumseh. Compresor doméstico para aplicaciones comerciales en refrigeración en R12.,,Compresores,$0.00+ IVA,images/18-024511.jpg,https://refrigeracionbarbosa.com/producto/compresor-1hp-r12-220v-monofasico-caj4511a-tecumseh/
18-024492Y,Compresor 3/4HP R134a 220V Alta CAJ4492Y Tecumseh,Compresor 3/4HP R134a 220V Alta CAJ4492Y Tecumseh. Compresor doméstico para aplicaciones comerciales en refrigeración en R134a.,,Compresores,Bs.0.00+ IVA,images/18-024492Y.jpg,https://refrigeracionbarbosa.com/producto/compresor-3-4hp-r134a-220v-alta-caj4492y-tecumseh/
13-13722,Correa Lavadora 3L-260,"Esta correa de transmisión de goma estilo V se desliza sobre el motor de la polea para llevar la canasta a la velocidad requerida. Si nota un olor a goma quemada o ruidos provenientes de su lavadora, su lavadora no arranca, no drena, no centrifuga correctamente (no centrifuga / gira lentamente / no agita correctamente), o si su lavadora tiembla o se mueve durante el ciclo; revise su correa de transmisión en busca de signos de desgaste.",,Correas,$0.00+ IVA,images/13-13722.jpg,https://refrigeracionbarbosa.com/producto/correa-lavadora-3l-260/
001-32044,Manguera Tina Bomba Lavadora EW907,"Manguera de uso doméstico para la entrada de agua a la tina por la bomba, para lavadoras Samsung de diferentes modelos.",,Mangueras,Bs.0.00+ IVA,images/001-32044.jpg,https://refrigeracionbarbosa.com/producto/manguera-tina-bomba-lavadora-ew907/
001-320440,Perilla Lavadora 320440 Whirlpool,"La perilla está asegurada al conjunto del dial, lo que permite al usuario seleccionar el ciclo de lavado. No se requieren herramientas para instalar o reemplazar la perilla del temporizador. Sin embargo, se recomienda tener un alicate y un destornillador, por si acaso tienes que hacer algunos ajustes.",,Perillas,$0.00+ IVA,images/001-320440.jpg,https://refrigeracionbarbosa.com/producto/perilla-lavadora-320440-whirlpool/
